y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"[1083, 2253, 3300]","[1083, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1083, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]"
0,"[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6597]","[7548, 7147, 6441]","[7548, 7147, 6597]"
0,"[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[5321, 659, 387]","[4863, 253, 387]","[5321, 659, 387]"
0,"[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]","[1304, 650, 79]"
0,"[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]","[4954, 475, 7327]","[1621, 1484, 1138]","[1621, 1484, 1138]","[1621, 1484, 1138]"
0,"[1451, 2253, 3300]","[1451, 2253, 3300]","[1083, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]","[1451, 2253, 3300]"
0,"[870, 75, 1180]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[239, 53, 735]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 156, 1257]","[1139, 51, 1217]","[1139, 51, 1217]","[1139, 51, 1217]","[1139, 51, 1217]"
0,"[408, 8, 785]","[408, 8, 785]","[408, 8, 785]","[1707, 692, 1288]","[408, 8, 785]","[408, 8, 785]","[408, 8, 785]","[2552, 1330, 2818]","[2552, 1330, 2818]","[2552, 1330, 2818]","[2552, 1330, 2818]","[2552, 1330, 2818]","[2552, 1330, 2818]","[2552, 1330, 2818]","[2552, 1330, 2818]"
0,"[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]","[1428, 1515, 317]"
0,"[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]","[1838, 266, 101]"
